,Open
539,29.530001000000002
540,30.290001
541,30.15
542,29.58
543,29.01
544,30.0
545,30.059998999999998
546,29.57
547,28.4
548,28.49
549,28.6
550,28.610001
551,28.52
552,28.01
553,28.0
554,28.549999
555,29.200001
556,27.76
557,27.9
558,28.57
559,30.0
560,32.349998
561,31.879998999999998
562,31.0
563,30.93
564,31.1
565,29.51
566,28.620001000000002
567,27.66
568,27.82
569,28.73
570,29.5
571,29.280001000000002
572,29.75
573,30.0
574,29.700001
575,28.860001
576,29.120001000000002
577,28.389999
578,28.940001000000002
579,28.32
580,28.02
581,27.67
582,28.25
583,28.99
584,27.83
585,27.99
586,27.379998999999998
587,28.52
588,27.799999
589,27.530001000000002
590,27.700001
591,28.25
592,29.27
593,29.799999
594,30.610001
595,31.0
596,31.01
597,30.6
598,30.290001
599,31.290001
600,31.959999
601,31.299999
602,31.15
603,32.07
604,32.799999
605,32.610001000000004
606,32.599998
607,32.099998
608,32.130001
609,32.0
610,33.439999
611,33.630001
612,33.889998999999996
613,34.080002
614,33.82
615,33.82
616,34.299999
617,34.43
618,34.599998
619,35.209998999999996
620,35.259997999999996
621,33.779999
622,33.77
623,34.259997999999996
624,34.75
625,34.509997999999996
626,33.939999
627,33.639998999999996
628,33.959998999999996
629,33.5
630,33.380001
631,33.0
632,35.0
633,35.18
634,34.799999
635,34.799999
636,34.5
637,34.009997999999996
638,33.869999
639,34.040001000000004
640,33.080002
641,33.110001000000004
642,33.849998
643,34.16
644,34.740002000000004
645,34.560001
646,35.02
647,36.0
648,37.0
649,36.860001000000004
650,38.099998
651,37.849998
652,37.869999
653,38.169998
654,38.400002
655,38.0
656,38.18
657,39.189999
658,39.450001
659,37.98
660,38.450001
661,38.299999
662,38.639998999999996
663,38.5
664,37.360001000000004
665,39.299999
666,36.490002000000004
667,35.720001
668,36.150002
669,34.459998999999996
670,34.41
671,35.889998999999996
672,35.0
673,34.77
674,36.0
675,37.009997999999996
676,37.73
677,38.060001
678,38.869999
679,38.900002
680,39.0
681,38.900002
682,36.639998999999996
683,35.299999
684,35.25
685,35.259997999999996
686,35.950001
687,36.200001
688,37.099998
689,37.98
690,37.939999
691,38.23
692,42.360001000000004
693,43.599998
694,43.099998
695,41.110001000000004
696,42.0
697,41.970001
698,41.799999
699,40.700001
700,42.060001
701,43.25
702,43.5
703,44.189999
704,45.5
705,45.98
706,47.459998999999996
707,48.599998
708,51.0
709,50.900002
710,50.5
711,53.130001
712,51.759997999999996
713,56.0
714,55.990002000000004
715,53.849998
716,56.470001
717,56.389998999999996
718,62.0
719,57.5
720,70.120003
721,69.650002
722,80.989998
723,94.220001
724,81.800003
725,94.699997
726,92.5
727,91.120003
728,88.5
729,86.370003
730,84.809998
731,92.599998
732,101.550003
733,113.550003
734,102.459999
735,106.260002
736,97.620003
737,92.75
738,93.660004
739,95.25
740,98.0
741,98.93
742,98.18
743,96.800003
744,99.0
745,100.0
746,103.599998
747,101.75
748,102.059998
749,104.650002
750,103.699997
751,96.5
752,103.099998
753,103.800003
754,106.75
755,108.57
756,109.360001
757,118.25
758,118.0
759,118.32
760,121.370003
761,124.639999
762,123.190002
763,124.879997
764,125.5
765,133.029999
766,126.279999
767,106.519997
768,120.970001
769,118.5
770,119.889999
771,124.0
772,124.470001
773,120.400002
774,128.139999
775,129.320007
776,134.800003
777,132.570007
778,135.0
779,134.58999599999999
780,140.009995
781,144.75
782,141.889999
783,154.350006
784,152.399994
785,149.429993
786,149.5
787,142.720001
788,136.429993
789,141.630005
790,143.429993
791,148.649994
792,150.0
793,149.220001
794,157.0
795,165.149994
796,162.300003
797,169.059998
798,164.220001
799,166.369995
800,173.399994
801,169.770004
802,170.100006
803,168.570007
804,163.119995
805,161.449997
806,166.41000400000001
807,164.0
808,162.770004
809,168.0
810,165.080002
811,167.070007
812,170.800003
813,178.899994
814,184.479996
815,179.139999
816,183.559998
817,186.699997
818,187.520004
819,189.0
820,193.96000700000002
821,188.58999599999999
822,175.050003
823,176.399994
824,182.46000700000002
825,184.399994
826,174.729996
827,173.08999599999999
828,172.75
829,175.0
830,185.279999
831,184.899994
832,183.53999299999998
833,184.149994
834,183.279999
835,170.5
836,168.91000400000001
837,165.0
838,174.21000700000002
839,170.179993
840,162.759995
841,164.630005
842,155.669998
843,163.0
844,165.0
845,180.0
846,154.809998
847,144.190002
848,136.479996
849,141.0
850,144.690002
851,140.83999599999999
852,138.919998
853,136.850006
854,135.270004
855,119.43
856,126.08000200000001
857,122.889999
858,121.58000200000001
859,124.5
860,119.379997
861,121.309998
862,129.770004
863,126.349998
864,132.679993
865,144.320007
866,140.149994
867,141.509995
868,137.0
869,140.050003
870,141.880005
871,139.699997
872,148.050003
873,148.479996
874,147.580002
875,152.240005
876,146.899994
877,141.580002
878,144.850006
879,150.0
880,155.03999299999998
881,155.300003
882,151.119995
883,152.320007
884,149.800003
885,150.0
886,150.0
887,147.619995
888,148.850006
889,152.5
890,148.46000700000002
891,145.779999
892,140.5
893,168.449997
894,162.5
895,170.190002
